"nombre_area","nuevo_nombre_area"
"Abastecimiento","Logística"
"Administración","Contabilidad y Administración"
"Administración de Base de Datos","Redes, Servidores y Soporte Técnico"
"Administración de Personal","RRHH"
"Administracion de Seguros","Seguros"
"Almacén / Depósito / Expedición","Logística"
"Análisis de Riesgos","Seguros"
"Análisis Funcional","Análisis Funcional"
"Apoderado Aduanal","Asesoría Legal y Comercio Internacional"
"Arquitectura","Arquitectura y Diseño"
"Arte y Cultura","Arquitectura y Diseño"
"Asesoría Legal Internacional","Asesoría Legal y Comercio Internacional"
"Asistente","Asistente"
"Asistente de Tráfico","Asistente"
"Atención al Cliente","Consultoria"
"Auditoría","Auditoría y Legal"
"Auditoría Médica","Auditoría y Legal"
"Back Office","Back Office"
"Bienestar Estudiantil","Educación"
"Bioquímica","Química y Laboratorio"
"Business Intelligence","Tecnología y Sistemas"
"Cadetería","Logística"
"Caja","Contabilidad y Administración"
"Calidad","Control y Calidad"
"Call Center","Comercial y Ventas"
"Camareros","Gastronomía"
"Capacitación","Educación"
"Comercial","Comercial y Ventas"
"Comercio Exterior","Asesoría Legal y Comercio Internacional"
"Community Management","Marketing"
"Compensación y Planilla","RRHH"
"Compras","Contabilidad y Administración"
"Compras Internacionales/Importación","Asesoría Legal y Comercio Internacional"
"Comunicacion","Comunicación"
"Comunicaciones Externas","Comunicación"
"Comunicaciones Internas","Comunicación"
"Construcción","Construcción"
"Consultoria","Consultoria"
"Consultorías Comercio Exterior","Asesoría Legal y Comercio Internacional"
"Contabilidad","Contabilidad y Administración"
"Control de Gestión","Control y Calidad"
"Corporate Finance / Banca Inversión","Corporate Finance / Banca Inversión"
"Creatividad","Arquitectura y Diseño"
"Créditos y Cobranzas","Contabilidad y Administración"
"Cuentas Corrientes","Contabilidad y Administración"
"Data Entry","Back Office"
"Data Warehousing","Redes, Servidores y Soporte Técnico"
"Desarrollo de Negocios","Desarrollo de Negocios"
"Dirección","Dirección y Liderazgo"
"Dirección de Obra","Dirección y Liderazgo"
"Diseño","Arquitectura y Diseño"
"Diseño 3D","Arquitectura y Diseño"
"Diseño de Interiores / Decoración","Arquitectura y Diseño"
"Diseño Gráfico","Arquitectura y Diseño"
"Diseño Industrial","Producción"
"Diseño Multimedia","Arquitectura y Diseño"
"Diseño Textil e Indumentaria","Arquitectura y Diseño"
"Diseño Web","Tecnología y Sistemas"
"Distribución","Logística"
"E-commerce","Tecnología y Sistemas"
"Educación","Educación"
"Educación especial","Educación"
"Educación/ Docentes","Educación"
"Emergentología","Salud"
"Estética y Cuidado Personal","Salud"
"Evaluación Económica","Evaluación Económica"
"Exploración Minera y Petroquimica","Mineria/Petroleo/Gas"
"Facturación","Contabilidad y Administración"
"Farmacéutica","Farmacéutica"
"Farmacia comercial","Farmacéutica"
"Farmacia hospitalaria","Farmacéutica"
"Farmacia industrial","Farmacéutica"
"Finanzas","Contabilidad y Administración"
"Finanzas Internacionales","Asesoría Legal y Comercio Internacional"
"Gastronomia","Gastronomía"
"Gerencia / Dirección General","Dirección y Liderazgo"
"Hotelería","Turismo y Hotelería"
"Idiomas","Idiomas"
"Impuestos","Contabilidad y Administración"
"Independientes","Independientes"
"Infraestructura","Infraestructura"
"Ingeniería Agrónoma","Ingeniería Agrónoma"
"Ingeniería Automotriz","Ingeniería Automotriz"
"Ingeniería Civil","Ingeniería Civil"
"Ingeniería de Procesos","Ingeniería de Procesos"
"Ingeniería de Producto","Producción"
"Ingeniería de Ventas","Ingeniería de Ventas"
"Ingeniería Eléctrica y Electrónica","Ingeniería Eléctrica y Electrónica"
"Ingeniería Electromecánica","Ingeniería Electromecánica"
"Ingeniería en Alimentos","Ingeniería en Alimentos"
"Ingeniería en Minas","Mineria/Petroleo/Gas"
"Ingeniería en Petróleo y Petroquímica","Mineria/Petroleo/Gas"
"Ingeniería Geológica","Ingeniería Geológica"
"Ingeniería Industrial","Ingeniería Industrial"
"Ingeniería Mecánica","Ingeniería Mecánica"
"Ingeniería Metalurgica","Ingeniería Metalurgica"
"Ingeniería Oficina Técnica / Proyecto","Ingeniería Oficina Técnica / Proyecto"
"Ingeniería Química","Química y Laboratorio"
"Instrumentación","Salud"
"Instrumentación quirúrgica","Salud"
"Internet","Tecnología y Sistemas"
"Inversiones / Proyectos de Inversión","Corporate Finance / Banca Inversión"
"Investigación y Desarrollo","Tecnología y Sistemas"
"Jóvenes Profesionales","Jóvenes Profesionales"
"Laboratorio","Química y Laboratorio"
"Legal","Auditoría y Legal"
"Liderazgo de Proyecto","Dirección y Liderazgo"
"Logística","Logística"
"Mantenimiento","Mantenimiento y Limpieza"
"Mantenimiento y Limpieza","Mantenimiento y Limpieza"
"Marketing","Marketing"
"Media Planning","Media Planning"
"Medicina","Salud"
"Medicina Laboral","Salud"
"Medio Ambiente","Medio Ambiente"
"Mercadotecnia Internacional","Asesoría Legal y Comercio Internacional"
"Mineria/Petroleo/Gas","Mineria/Petroleo/Gas"
"Multimedia","Multimedia"
"Negocios Internacionales","Asesoría Legal y Comercio Internacional"
"Oficios y Profesiones","Oficios y Profesiones"
"Operaciones","Operaciones"
"Organización y Métodos","Organización y Métodos"
"Otras áreas técnicas en salud","Salud"
"Otras Especialidades médicas","Salud"
"Otras Ingenierias","Otros"
"Otros","Otros"
"Pasantía / Trainee","Pasantía / Trainee"
"Planeamiento","Planeamiento"
"Planeamiento comercial","Planeamiento"
"Planeamiento económico-financiero","Planeamiento"
"Prácticas Profesionales","Pasantía / Trainee"
"Producción","Producción"
"Producto","Producción"
"Programación","Tecnologia / Sistemas"
"Programación de producción","Producción"
"Promotoras/es","Promotoras/es"
"Quimica","Química y Laboratorio"
"Química","Química y Laboratorio"
"Recepcionista","Recepcionista / Secretaria"
"Recursos Humanos","RRHH"
"Redes","Tecnología y Sistemas"
"Relaciones Institucionales/Publicas","Comunicación"
"Responsabilidad Social","Responsabilidad y Trabajo Social"
"Salud","Salud"
"Secretaria","Recepcionista / Secretaria"
"Seguridad","Seguridad e Higiene"
"Seguridad e Higiene","Seguridad e Higiene"
"Seguridad Industrial","Seguridad e Higiene"
"Seguridad Informática","Tecnologia / Sistemas"
"Seguros","Seguros"
"Selección","RRHH"
"Servicios","Servicios"
"Sistemas","Tecnologia / Sistemas"
"Soporte Técnico","Redes, Servidores y Soporte Técnico"
"Tecnico de Seguros","Seguros"
"Tecnologia / Sistemas","Tecnologia / Sistemas"
"Tecnologías de la Información","Tecnologia / Sistemas"
"Telecomunicaciones","Telecomunicaciones"
"Telefonista","Telecomunicaciones"
"Telemarketing","Comercial y Ventas"
"Tesorería","Contabilidad y Administración"
"Testing / QA / QC","Tecnologia / Sistemas"
"Topografía","Topografía"
"Trabajo Social","Responsabilidad y Trabajo Social"
"Trabajo social","Responsabilidad y Trabajo Social"
"Traduccion","Idiomas"
"Transporte","Logística"
"Turismo","Turismo y Hotelería"
"Urbanismo","Urbanismo"
"Venta de Seguros","Seguros"
"Ventas","Comercial y Ventas"
"Ventas Internacionales/Exportación","Asesoría Legal y Comercio Internacional"
"Veterinaria","Veterinaria"